,departure,date,destination,fare,origin,type,time,weekday,passengers,search_date,search_destination,search_origin,created_at
0,06:00 AM                                                             Wednesday,September 4th,Dar es Salaam,20000,Dodoma,Luxury Bus,06:00 AM,Wednesday,0.82,2019-09-04,Dar es Salaam,Dodoma,2019-09-03 00:19:13.939044
1,07:30 AM                                                             Wednesday,September 4th,Dar es Salaam,20000,Dodoma,Luxury Bus,07:30 AM,Wednesday,0.82,2019-09-04,Dar es Salaam,Dodoma,2019-09-03 00:19:13.939044
2,10:30 AM                                                             Wednesday,September 4th,Dar es Salaam,37000,Dodoma,Luxury Bus,10:30 AM,Wednesday,0.87,2019-09-04,Dar es Salaam,Dodoma,2019-09-03 00:19:13.939044
3,11:30 AM                                                             Wednesday,September 4th,Dar es Salaam,25000,Dodoma,Luxury Bus,11:30 AM,Wednesday,0.87,2019-09-04,Dar es Salaam,Dodoma,2019-09-03 00:19:13.939044
4,03:30 PM                                                             Wednesday,September 4th,Dar es Salaam,20000,Dodoma,Luxury Bus,03:30 PM,Wednesday,0.82,2019-09-04,Dar es Salaam,Dodoma,2019-09-03 00:19:13.939044
5,06:00 AM                                                             Wednesday,September 4th,Dodoma,34000,Rombo,Luxury Bus,06:00 AM,Wednesday,0.96,2019-09-04,Dodoma,Rombo,2019-09-03 00:19:13.939044
6,06:00 AM                                                             Thursday,September 5th,Dodoma,34000,Rombo,Luxury Bus,06:00 AM,Thursday,0.96,2019-09-05,Dodoma,Rombo,2019-09-03 00:19:13.939044
7,06:00 AM                                                             Friday,September 6th,Dodoma,34000,Rombo,Luxury Bus,06:00 AM,Friday,0.96,2019-09-06,Dodoma,Rombo,2019-09-03 00:19:13.939044
8,06:00 AM                                                             Saturday,September 7th,Dodoma,34000,Rombo,Luxury Bus,06:00 AM,Saturday,0.96,2019-09-07,Dodoma,Rombo,2019-09-03 00:19:13.939044
9,06:00 AM                                                             Sunday,September 8th,Dodoma,34000,Rombo,Luxury Bus,06:00 AM,Sunday,0.96,2019-09-08,Dodoma,Rombo,2019-09-03 00:19:13.939044
10,06:00 AM                                                             Monday,September 9th,Dodoma,34000,Rombo,Luxury Bus,06:00 AM,Monday,0.96,2019-09-09,Dodoma,Rombo,2019-09-03 00:19:13.939044
11,06:00 AM                                                             Tuesday,September 10th,Dodoma,34000,Rombo,Luxury Bus,06:00 AM,Tuesday,0.96,2019-09-10,Dodoma,Rombo,2019-09-03 00:19:13.939044
12,06:00 AM                                                             Wednesday,September 4th,Dodoma,27000,Moshi,Luxury Bus,06:00 AM,Wednesday,0.93,2019-09-04,Dodoma,Moshi,2019-09-03 00:19:13.939044
13,06:00 AM                                                             Thursday,September 5th,Dodoma,27000,Moshi,Luxury Bus,06:00 AM,Thursday,0.93,2019-09-05,Dodoma,Moshi,2019-09-03 00:19:13.939044
14,06:00 AM                                                             Friday,September 6th,Dodoma,27000,Moshi,Luxury Bus,06:00 AM,Friday,0.93,2019-09-06,Dodoma,Moshi,2019-09-03 00:19:13.939044
